State,Male,Female,White,Black,Hispanic/Latino,Asian,White + BA/BS,White + No BA/BS,Republican,Democrat,Independent,65+
MI,0.51,0.37,0.47,0.07,N/A,N/A,0.37,0.47,0.95,0.02,0.37,0.45
WI,0.49,0.39,0.45,N/A,N/A,N/A,0.34,0.53,0.95,0.02,0.35,0.38
PA,0.54,0.38,0.5,N/A,N/A,N/A,0.38,0.59,0.88,0.07,0.38,0.46
AZ,0.49,0.46,0.49,N/A,0.45,N/A,0.41,0.53,0.91,0.06,0.35,0.52
NC,0.55,0.38,0.56,0.09,N/A,N/A,0.38,0.7,0.94,0.02,0.43,0.5
FL,0.54,0.41,0.52,0.14,0.52,N/A,0.4,0.62,0.9,0.05,0.41,0.46
