State,Male,Female,White,Black,Hispanic/Latino,Asian,White + BA/BS,White + No BA/BS,Republican,Democrat,Independent,65+
MI,0.45,0.49,0.49,0.9,N/A,N/A,0.56,0.45,0.04,0.97,0.56,0.53
WI,0.48,0.59,0.52,N/A,N/A,N/A,0.63,0.45,0.04,0.98,0.59,0.59
PA,0.42,0.6,0.48,N/A,N/A,N/A,0.61,0.39,0.11,0.91,0.55,0.51
AZ,0.45,0.52,0.49,N/A,0.49,N/A,0.55,0.43,0.07,0.94,0.57,0.46
NC,0.42,0.6,0.42,0.89,N/A,N/A,0.61,0.28,0.06,0.98,0.52,0.49
FL,0.44,0.57,0.45,0.84,0.46,N/A,0.58,0.36,0.09,0.95,0.55,0.53
