State,Male,Female,White,Black,Hispanic/Latino,Asian,White + BA/BS,White + No BA/BS,Republican,Democrat,Independent,65+
AZ,0.43,0.56,0.42,N/A,N/A,N/A,0.47,0.4,0.09,0.93,0.54,0.56
FL,0.39,0.6,0.41,N/A,N/A,N/A,0.58,0.34,0.07,0.96,0.51,0.47
GA,0.48,0.53,0.31,0.9,N/A,N/A,0.44,0.24,0.04,0.98,0.58,0.42
NC,0.42,0.55,0.37,N/A,N/A,N/A,0.49,0.3,0.05,0.96,0.43,0.51
PA,0.45,0.54,0.43,N/A,N/A,N/A,0.56,0.37,0.05,0.9,0.53,0.5
IA,0.38,0.56,N/A,N/A,N/A,N/A,0.58,0.42,0.05,0.97,0.52,0.54
